cell,cell_type
Cell1391,group1
Cell1392,group2
Cell1393,group1
Cell1394,group2
Cell1395,group4
Cell1396,group4
Cell1397,group2
Cell1398,group2
Cell1399,group4
Cell1400,group3
Cell1401,group5
Cell1402,group4
Cell1403,group2
Cell1404,group2
Cell1405,group3
Cell1406,group4
Cell1407,group2
Cell1408,group5
Cell1409,group2
Cell1410,group2
Cell1411,group1
Cell1412,group2
Cell1413,group1
Cell1414,group3
Cell1415,group2
Cell1416,group2
Cell1417,group4
Cell1418,group4
Cell1419,group5
Cell1420,group3
Cell1421,group5
Cell1422,group3
Cell1423,group2
Cell1424,group5
Cell1425,group5
Cell1426,group3
Cell1427,group2
Cell1428,group2
Cell1429,group3
Cell1430,group3
Cell1431,group4
Cell1432,group5
Cell1433,group3
Cell1434,group1
Cell1435,group3
Cell1436,group5
Cell1437,group2
Cell1438,group5
Cell1439,group2
Cell1440,group5
Cell1441,group4
Cell1442,group5
Cell1443,group1
Cell1444,group5
Cell1445,group2
Cell1446,group2
Cell1447,group2
Cell1448,group1
Cell1449,group2
Cell1450,group2
Cell1451,group2
Cell1452,group5
Cell1453,group2
Cell1454,group2
Cell1455,group5
Cell1456,group2
Cell1457,group2
Cell1458,group2
Cell1459,group5
Cell1460,group5
Cell1461,group5
Cell1462,group4
Cell1463,group1
Cell1464,group3
Cell1465,group5
Cell1466,group2
Cell1467,group1
Cell1468,group5
Cell1469,group1
Cell1470,group2
Cell1471,group4
Cell1472,group1
Cell1473,group5
Cell1474,group3
Cell1475,group1
Cell1476,group2
Cell1477,group2
Cell1478,group4
Cell1479,group4
Cell1480,group1
Cell1481,group4
Cell1482,group3
Cell1483,group3
Cell1484,group3
Cell1485,group5
Cell1486,group2
Cell1487,group4
Cell1488,group1
Cell1489,group5
Cell1490,group2
Cell1491,group2
Cell1492,group2
Cell1493,group5
Cell1494,group3
Cell1495,group4
Cell1496,group3
Cell1497,group4
Cell1498,group2
Cell1499,group4
Cell1500,group4
